user_id,subject,elites,nvresponses,campaigner violence,repressive violence,rating,endyear,method,method_id,theme,classification,country
0,atlanta unions campaign to unionize atlanta olympics 19911993,no,no,no,no,8.0,1993,003 declarations by organizations and institutions,3,democracy,change,united states
0,atlanta unions campaign to unionize atlanta olympics 19911993,no,no,no,no,8.0,1993,003 declarations by organizations and institutions,3,economic justice,change,united states
0,atlanta unions campaign to unionize atlanta olympics 19911993,no,no,no,no,8.0,1993,005 declarations of indictment and intention,5,democracy,change,united states
0,atlanta unions campaign to unionize atlanta olympics 19911993,no,no,no,no,8.0,1993,005 declarations of indictment and intention,5,economic justice,change,united states
0,atlanta unions campaign to unionize atlanta olympics 19911993,no,no,no,no,8.0,1993,001 public speeches,1,democracy,change,united states
0,atlanta unions campaign to unionize atlanta olympics 19911993,no,no,no,no,8.0,1993,001 public speeches,1,economic justice,change,united states
0,atlanta unions campaign to unionize atlanta olympics 19911993,no,no,no,no,8.0,1993,004 signed public statements,4,democracy,change,united states
0,atlanta unions campaign to unionize atlanta olympics 19911993,no,no,no,no,8.0,1993,004 signed public statements,4,economic justice,change,united states
0,atlanta unions campaign to unionize atlanta olympics 19911993,no,no,no,no,8.0,1993,008 banners posters and displayed communications,8,democracy,change,united states
0,atlanta unions campaign to unionize atlanta olympics 19911993,no,no,no,no,8.0,1993,008 banners posters and displayed communications,8,economic justice,change,united states
0,atlanta unions campaign to unionize atlanta olympics 19911993,no,no,no,no,8.0,1993,009 leaflets pamphlets and books,9,democracy,change,united states
0,atlanta unions campaign to unionize atlanta olympics 19911993,no,no,no,no,8.0,1993,009 leaflets pamphlets and books,9,economic justice,change,united states
0,atlanta unions campaign to unionize atlanta olympics 19911993,no,no,no,no,8.0,1993,011 records radio and television,11,democracy,change,united states
0,atlanta unions campaign to unionize atlanta olympics 19911993,no,no,no,no,8.0,1993,011 records radio and television,11,economic justice,change,united states
0,atlanta unions campaign to unionize atlanta olympics 19911993,no,no,no,no,8.0,1993,032 taunting officials,32,democracy,change,united states
0,atlanta unions campaign to unionize atlanta olympics 19911993,no,no,no,no,8.0,1993,032 taunting officials,32,economic justice,change,united states
0,atlanta unions campaign to unionize atlanta olympics 19911993,no,no,no,no,8.0,1993,038 marches,38,democracy,change,united states
0,atlanta unions campaign to unionize atlanta olympics 19911993,no,no,no,no,8.0,1993,038 marches,38,economic justice,change,united states
0,atlanta unions campaign to unionize atlanta olympics 19911993,no,no,no,no,8.0,1993,078 workers boycott,78,democracy,change,united states
0,atlanta unions campaign to unionize atlanta olympics 19911993,no,no,no,no,8.0,1993,078 workers boycott,78,economic justice,change,united states
0,atlanta unions campaign to unionize atlanta olympics 19911993,no,no,no,no,8.0,1993,173 nonviolent occupation,173,democracy,change,united states
0,atlanta unions campaign to unionize atlanta olympics 19911993,no,no,no,no,8.0,1993,173 nonviolent occupation,173,economic justice,change,united states
0,atlanta unions campaign to unionize atlanta olympics 19911993,no,no,no,no,8.0,1993,016 picketing,16,democracy,change,united states
0,atlanta unions campaign to unionize atlanta olympics 19911993,no,no,no,no,8.0,1993,016 picketing,16,economic justice,change,united states
1,chinese migrant workers protest for equal civil rights 2011 ,no,no,yes,yes,2.0,2011,001 public speeches,1,economic justice,change,china
1,chinese migrant workers protest for equal civil rights 2011 ,no,no,yes,yes,2.0,2011,001 public speeches,1,national-ethnic identity,change,china
1,chinese migrant workers protest for equal civil rights 2011 ,no,no,yes,yes,2.0,2011,038 marches,38,economic justice,change,china
1,chinese migrant workers protest for equal civil rights 2011 ,no,no,yes,yes,2.0,2011,038 marches,38,national-ethnic identity,change,china
1,chinese migrant workers protest for equal civil rights 2011 ,no,no,yes,yes,2.0,2011,039 parades,39,economic justice,change,china
1,chinese migrant workers protest for equal civil rights 2011 ,no,no,yes,yes,2.0,2011,039 parades,39,national-ethnic identity,change,china
2,university of missouri students protest against racial discrimination and harassment 2015,yes,no,no,yes,6.5,2015,001 public speeches,1,human rights,change,united states
2,university of missouri students protest against racial discrimination and harassment 2015,yes,no,no,yes,6.5,2015,008 banners posters and displayed communications,8,human rights,change,united states
2,university of missouri students protest against racial discrimination and harassment 2015,yes,no,no,yes,6.5,2015,038 marches,38,human rights,change,united states
2,university of missouri students protest against racial discrimination and harassment 2015,yes,no,no,yes,6.5,2015,002 letters of opposition or support,2,human rights,change,united states
2,university of missouri students protest against racial discrimination and harassment 2015,yes,no,no,yes,6.5,2015,039 parades,39,human rights,change,united states
2,university of missouri students protest against racial discrimination and harassment 2015,yes,no,no,yes,6.5,2015,047 assemblies of protest or support,47,human rights,change,united states
2,university of missouri students protest against racial discrimination and harassment 2015,yes,no,no,yes,6.5,2015,005 declarations of indictment and intention,5,human rights,change,united states
2,university of missouri students protest against racial discrimination and harassment 2015,yes,no,no,yes,6.5,2015,159 the fast (fast of moral pressure hunger strike satyagrahic fast),159,human rights,change,united states
2,university of missouri students protest against racial discrimination and harassment 2015,yes,no,no,yes,6.5,2015,162 sit-in,162,human rights,change,united states
2,university of missouri students protest against racial discrimination and harassment 2015,yes,no,no,yes,6.5,2015,006 group or mass petitions,6,human rights,change,united states
2,university of missouri students protest against racial discrimination and harassment 2015,yes,no,no,yes,6.5,2015,037 singing,37,human rights,change,united states
2,university of missouri students protest against racial discrimination and harassment 2015,yes,no,no,yes,6.5,2015,050 teach-ins,50,human rights,change,united states
2,university of missouri students protest against racial discrimination and harassment 2015,yes,no,no,yes,6.5,2015,060 suspension of social and sports activities,60,human rights,change,united states
3,argentinian police force strike for better pay 2013,no,no,no,no,6.5,2013,051 walk-outs,51,economic justice,change,argentina
3,argentinian police force strike for better pay 2013,no,no,no,no,6.5,2013,104 professional strike,104,economic justice,change,argentina
3,argentinian police force strike for better pay 2013,no,no,no,no,6.5,2013,162 sit-in,162,economic justice,change,argentina
3,argentinian police force strike for better pay 2013,no,no,no,no,6.5,2013,091 refusal of a governments money,91,economic justice,change,argentina
3,argentinian police force strike for better pay 2013,no,no,no,no,6.5,2013,182 stay-in strike,182,economic justice,change,argentina
4,torres strait soldiers stage stayathome strikes to demand full pay and an end to discrimination in the army 1943,no,no,no,no,4.5,1943,065 stay-at-home,65,economic justice,change,australia
4,torres strait soldiers stage stayathome strikes to demand full pay and an end to discrimination in the army 1943,no,no,no,no,4.5,1943,065 stay-at-home,65,national-ethnic identity,change,australia
5,south koreans demonstrate for president park guenhyes resignation candlelight revolution 20162017,no,no,no,no,10.0,2017,024 symbolic lights,24,democracy,change,south korea
5,south koreans demonstrate for president park guenhyes resignation candlelight revolution 20162017,no,no,no,no,10.0,2017,034 vigils,34,democracy,change,south korea
5,south koreans demonstrate for president park guenhyes resignation candlelight revolution 20162017,no,no,no,no,10.0,2017,038 marches,38,democracy,change,south korea
5,south koreans demonstrate for president park guenhyes resignation candlelight revolution 20162017,no,no,no,no,10.0,2017,047 assemblies of protest or support,47,democracy,change,south korea
6,columbia university students win divestment from private prison companies 20142015,no,yes,no,no,8.0,2015,002 letters of opposition or support,2,human rights,change,united states
6,columbia university students win divestment from private prison companies 20142015,no,yes,no,no,8.0,2015,015 group lobbying,15,human rights,change,united states
6,columbia university students win divestment from private prison companies 20142015,no,yes,no,no,8.0,2015,050 teach-ins,50,human rights,change,united states
6,columbia university students win divestment from private prison companies 20142015,no,yes,no,no,8.0,2015,006 group or mass petitions,6,human rights,change,united states
6,columbia university students win divestment from private prison companies 20142015,no,yes,no,no,8.0,2015,008 banners posters and displayed communications,8,human rights,change,united states
6,columbia university students win divestment from private prison companies 20142015,no,yes,no,no,8.0,2015,016 picketing,16,human rights,change,united states
6,columbia university students win divestment from private prison companies 20142015,no,yes,no,no,8.0,2015,178 guerrilla theatre,178,human rights,change,united states
6,columbia university students win divestment from private prison companies 20142015,no,yes,no,no,8.0,2015,038 marches,38,human rights,change,united states
6,columbia university students win divestment from private prison companies 20142015,no,yes,no,no,8.0,2015,175 overloading of facilities,175,human rights,change,united states
6,columbia university students win divestment from private prison companies 20142015,no,yes,no,no,8.0,2015,007 slogans caricatures and symbols,7,human rights,change,united states
6,columbia university students win divestment from private prison companies 20142015,no,yes,no,no,8.0,2015,009 leaflets pamphlets and books,9,human rights,change,united states
6,columbia university students win divestment from private prison companies 20142015,no,yes,no,no,8.0,2015,037 singing,37,human rights,change,united states
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,038 marches,38,democracy,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,038 marches,38,economic justice,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,002 letters of opposition or support,2,democracy,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,002 letters of opposition or support,2,economic justice,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,007 slogans caricatures and symbols,7,democracy,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,007 slogans caricatures and symbols,7,economic justice,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,016 picketing,16,democracy,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,016 picketing,16,economic justice,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,018 displays of flags and symbolic colors,18,democracy,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,018 displays of flags and symbolic colors,18,economic justice,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,062 student strike,62,democracy,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,062 student strike,62,economic justice,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,117 general strike,117,democracy,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,117 general strike,117,economic justice,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,124 boycott of elections,124,democracy,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,124 boycott of elections,124,economic justice,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,135 popular nonobedience,135,democracy,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,135 popular nonobedience,135,economic justice,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,162 sit-in,162,democracy,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,162 sit-in,162,economic justice,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,172 nonviolent obstruction,172,democracy,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,172 nonviolent obstruction,172,economic justice,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,097 protest strike,97,democracy,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,097 protest strike,97,economic justice,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,113 strike by resignation,113,democracy,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,113 strike by resignation,113,economic justice,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,131 refusal to accept appointed officials,131,democracy,change,armenia
7,armenians protest for resignation of prime minister serzh sargsyan 2018,no,no,no,yes,10.0,2018,131 refusal to accept appointed officials,131,economic justice,change,armenia
